Liczba zwierzaków,Liczba pól z trawą,Liczba pustych pól, Najpopularniejszy gen, Średnia energia, Średnia liczba dzieci, Średni czas życia martwych zwierzaków
3,5,27,7,4.0,0.0,0.0,
3,9,24,7,3.67,0.0,0.0,
3,12,21,7,4.0,0.0,0.0,
3,17,17,7,3.0,0.0,0.0,
3,21,11,7,2.67,0.0,0.0,
2,26,9,3,3.0,0.0,5.0,
2,30,5,3,3.0,0.0,5.0,
2,34,1,3,3.0,0.0,5.0,
2,36,0,3,4.0,0.0,5.0,
2,36,0,3,5.0,0.0,5.0,
2,36,0,3,6.0,0.0,5.0,
2,36,0,3,7.0,0.0,5.0,
2,36,0,3,8.0,0.0,5.0,
2,36,0,3,9.0,0.0,5.0,
2,36,0,3,10.0,0.0,5.0,
2,36,0,3,11.0,0.0,5.0,
2,36,0,3,12.0,0.0,5.0,
2,36,0,3,13.0,0.0,5.0,
2,36,0,3,14.0,0.0,5.0,
2,36,0,3,15.0,0.0,5.0,
2,36,0,3,16.0,0.0,5.0,
2,36,0,3,17.0,0.0,5.0,
2,36,0,3,18.0,0.0,5.0,
2,36,0,3,19.0,0.0,5.0,
2,36,0,3,20.0,0.0,5.0,
2,36,0,3,21.0,0.0,5.0,
3,36,0,3,14.0,0.67,5.0,
4,36,0,3,10.25,1.0,5.0,
4,36,0,3,11.25,1.0,5.0,
4,36,0,3,11.75,1.0,5.0,
4,36,0,3,12.75,1.0,5.0,
4,36,0,3,13.75,1.0,5.0,
4,36,0,3,14.75,1.0,5.0,
4,36,0,3,15.75,1.0,5.0,
4,36,0,3,16.75,1.0,5.0,
5,36,0,7,13.8,1.2,5.0,
