Liczba zwierzaków,Liczba pól z trawą,Liczba pustych pól, Najpopularniejszy gen, Średnia energia, Średnia liczba dzieci, Średni czas życia martwych zwierzaków
3,9,25,7,4.67,0.0,0.0,
3,13,20,7,4.33,0.0,0.0,
3,16,17,7,4.67,0.0,0.0,
3,20,14,7,4.33,0.0,0.0,
3,24,9,7,4.0,0.0,0.0,
3,26,9,7,5.0,0.0,0.0,
3,28,6,7,6.0,0.0,0.0,
3,31,3,7,6.33,0.0,0.0,
3,33,2,7,7.33,0.0,0.0,
3,36,0,7,7.67,0.0,0.0,
3,36,0,7,8.67,0.0,0.0,
3,36,0,7,9.67,0.0,0.0,
3,36,0,7,10.67,0.0,0.0,
3,36,0,7,11.67,0.0,0.0,
3,36,0,7,12.67,0.0,0.0,
3,36,0,7,13.67,0.0,0.0,
3,36,0,7,14.67,0.0,0.0,
3,36,0,7,15.67,0.0,0.0,
3,36,0,7,16.67,0.0,0.0,
3,36,0,7,17.67,0.0,0.0,
3,36,0,7,18.67,0.0,0.0,
3,36,0,7,19.67,0.0,0.0,
3,36,0,7,20.67,0.0,0.0,
3,36,0,7,21.67,0.0,0.0,
3,36,0,7,22.67,0.0,0.0,
3,36,0,7,23.67,0.0,0.0,
3,36,0,7,24.67,0.0,0.0,
3,36,0,7,25.67,0.0,0.0,
3,36,0,7,26.67,0.0,0.0,
3,36,0,7,27.67,0.0,0.0,
3,36,0,7,28.67,0.0,0.0,
3,36,0,7,29.67,0.0,0.0,
3,36,0,7,30.67,0.0,0.0,
3,36,0,7,31.67,0.0,0.0,
